ORIGIN,DESTINATION,CARRIER,DELAY,CANCELED,TIME,DISTANCE,COST
LFD,PEH,EV,25,0,189,1307,408.32
UYZ,HGR,MQ,179,1,174,1203,256.1
MZM,PEH,HA,104,0,425,2933,712.03
GGB,MZM,EV,149,0,250,1726,475.11
KQH,UVA,MQ,282,0,146,1014,247.29
UYZ,GGB,WN,430,1,350,2416,517.91
NXH,NXT,EV,373,0,283,1954,511.45
LFD,HGR,UA,409,0,47,325,215.65
TIY,UYZ,MQ,370,1,360,2487,315.99
LGU,TIY,EV,449,0,244,1688,469.05
GGB,UVA,HA,31,1,102,708,323.6
PEH,UVA,HA,490,1,380,2627,658.61
NXH,UYZ,UA,461,0,304,2099,301.1
GGB,UVA,HA,46,0,102,708,323.6
NXH,LFD,OO,437,1,146,1009,489.05
UYZ,UVA,MQ,37,0,50,347,216.18
TIY,UVA,DL,126,0,43,302,219.55
UVA,NXH,OO,173,1,138,955,473.58
KQH,NXT,HA,202,1,266,1840,521.22
LFD,GGB,HA,371,1,370,2553,645.69
HGR,GGB,UA,45,0,264,1824,287.86
LFD,NXT,DL,121,0,295,2037,331.86
NXT,LGU,UA,345,0,293,2025,297.54
KQH,HGR,WN,172,1,247,1711,425.15
UVA,KQH,EV,319,0,146,1014,361.62
KQH,VTI,MQ,415,1,381,2629,322.61
UVA,VTI,UA,44,0,144,994,247.88
PEH,UVA,MQ,125,0,380,2627,322.52
TIY,LFD,DL,267,0,56,392,225.38
GTC,MZM,EV,351,0,70,489,277.94
